,T_coeff,course_id,cumgame_coeff,dirvar_coeff,intercept,mse,n_values,nomatch,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff
0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Ben Horst,0.0,0.0,0.0,0.0,0.0
1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,Ben Horst,0.0,0.0,0.0,0.0,0.0
2,0.0,2,-0.0,-0.0,68.11111111111111,16.32098765432099,9.0,0.0,Ben Horst,0.0,0.0,1.0,0.0,0.0
3,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Bob Montes,0.0,0.0,0.0,0.0,0.0
4,0.0,1,0.0,0.0,52.6,6.639999999999999,5.0,0.0,Bob Montes,0.0,0.0,0.0,0.0,0.0
5,-0.36421903777969844,2,-0.0,0.0,55.04347826086956,9.719677101213586,23.0,0.0,Bob Montes,0.42956934589958556,0.30348019689217187,0.0,1.249596118574874,0.0
6,-0.07791232015466018,0,0.1541965430585195,-0.0,51.3,1.7711891274379723,10.0,0.0,Dennis Warsen,0.0473637608072331,0.32138347607740514,0.0,0.2654561218709252,0.12839854517318983
7,-2.6092472373643343,1,-0.47025895687309355,0.0,57.142857142857146,5.063018741297226,14.0,0.0,Dennis Warsen,0.607129443290074,0.6859646603499189,0.0,0.0,0.0
8,-0.0,2,-0.0,-0.0,54.35849056603774,14.013275509398463,53.0,0.0,Dennis Warsen,0.0,0.12021610777568559,0.0,0.7970974852505135,0.0
9,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Gonzalo Arestizabal,0.0,0.0,0.0,0.0,0.0
10,0.0,1,0.6248870743690019,1.1935505727569757,65.0,6.291931507994487,8.0,0.0,Gonzalo Arestizabal,0.0,0.496645479360441,0.0,-0.0,0.0
11,-0.6007473429250489,2,-0.18800729951919753,-0.1925480432157363,63.142857142857146,6.405464375024861,21.0,0.0,Gonzalo Arestizabal,0.0,0.22945723148227945,0.0,0.19777066338499372,0.29943275623686966
12,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Greg Mann,0.0,0.0,0.0,0.0,0.0
13,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,Greg Mann,0.0,0.0,0.0,0.0,0.0
